Elton M. Pina,5.0 out of 5 stars,"
Sometimes ordering products from online it comes broken or smudged, but this product was delivered and packed properly. This book is amazing, and I am so excited to keep reading!
","Reviewed in the United States on December 24, 2021"
GameDirection,5.0 out of 5 stars,"
A fascinating look into some menacing power plays.
","Reviewed in the United States on September 2, 2020"
General Barrett,5.0 out of 5 stars,"
Love it.
","Reviewed in the United States on April 6, 2021"
Person,5.0 out of 5 stars,"
My headline says it all. This book is the Bible of social interaction at the most psychological level and is inevitably a roadmap to taking over the world and becoming your best self.
","Reviewed in the United States on July 23, 2019"
Kevin Kemple,5.0 out of 5 stars,"
As a history buff I loved this book. Alot of the examples are historical examples which I thought was fascinating
","Reviewed in the United States on July 5, 2021"
stephanie,5.0 out of 5 stars,"
Book is very thought provoking. It almost makes you feel guilty reading it but yet it’s so intriguing and you just don’t care to stop reading it!!
","Reviewed in the United States on June 1, 2022"
J Mili,5.0 out of 5 stars,"
Cover came torn but the book is a total page turner.
","Reviewed in the United States on August 10, 2020"
Kindle Customer,5.0 out of 5 stars,"
If I could give this book 10 starts I would.Best and most influential book I've ever read in my life. Applies to every single aspect of life. Will take its lessons throughout
","Reviewed in the United States on July 5, 2019"
Amazon Customer,5.0 out of 5 stars,"
One you can read again and again
","Reviewed in the United States on November 11, 2019"
matthew,5.0 out of 5 stars,"
Some laws seem controversial but the historical examples and side bars in each chapter are really interesting. Definitely going to be a book I read through a few times.
","Reviewed in the United States on May 29, 2022"
Louis S. Carrozzi,5.0 out of 5 stars,"
There are a lot of other great reviews on here, including the 1 star reviews (which is unusual...) so I'll let people be a lot more vocal than me in describing the pros and cons of this book.I think there is a difference between liking the material in this book, and having respect for it's contents and construction.  The book is very well written, but it's contents may be offensive to certain people and a gold mine to others.There is no doubt that anyone putting these tactics and principles to work in their everyday life will result in them being something of a sociopath and a megalomanic.  If you are an incredibly ambitious person who seeks power and domination at all costs, then this book will be your bread and butter!  (I am NOT one of those people.)However, even if you find the inner workings of this book offensive and anti-social, the books is STILL valuable as a resource that you can use to find out what games other people are playing against YOU.  In that respect, I would still put this book high on a list of books you should read.  If you want to swim with the sharks and not get eaten, this book will illuminate what you need to look for to protect yourself from ambitious power mongers.If you really want to have personal power without resorting to Machiavellian tactics, I would recommend ""Aikido In Everyday Life"" by Terry Dobson and Victor Miller.  That book shows how to use the principles of the martial art Aikido to be strong and in harmony with others (and to totally kick ass in almost any situation!) without having to be an upward mobility seeker or sociopathic power monger.If you want to be a U.S. Senator, then THIS book is for you!  (Yes, I am disgusted with our government.)Peace!
","Reviewed in the United States on October 26, 2014"
Kevin Tumlinson,5.0 out of 5 stars,"
If you want to understand what’s happening in our current society and culture, and grasp how those in power got there and what they intend, this book is a step-by-step strategy. Obviously someone has read it and is using it as their game plan.Read this work and your eyes will suddenly open to what’s happening in the world. There’s a reason this book was banned from prisons, and from some universities. If you learn and implement these strategies effectively, you will gain great power. And even if you do not implement these laws, you’ll come to understand how others are using them.This book should be required reading and study.
","Reviewed in the United States on October 31, 2021"
Frank Wilson,5.0 out of 5 stars,"
Working on finishing up but a great buy
","Reviewed in the United States on January 26, 2021"
Emily Fowler,5.0 out of 5 stars,"
In a single day I became obsessed with this book.
","Reviewed in the United States on August 4, 2020"
E. E. Narvaez,5.0 out of 5 stars,"
Incredible book and the author presents an easy way to comprehend which makes you want to read more of Robert Greene books
","Reviewed in the United States on July 5, 2019"
Joshua Douglas,5.0 out of 5 stars,"
Great read!
","Reviewed in the United States on January 8, 2021"
Amazon Customer,1.0 out of 5 stars,"
This is the kind of book that make the world a horrible place. I am shocked at how penguin even published it. A manual on how to be evil. All the copies should be burnt and amazon should most certainly ban it from its stores
","Reviewed in the United States on April 17, 2020"
Jorge De la Rosa,5.0 out of 5 stars,"
I like the whole book everything in there gave me ideas and great perspectives to fight and search for what's next.
","Reviewed in the United States on September 6, 2019"
Patricia Tacktill,5.0 out of 5 stars,"
Really good read filled with motivational quotes.  Perfect gift for any executive, entrepeaneur, college grad, etc.  Great read and this author has several others like this as well.  Good gift for the person who has everything, they are sure to enjoy this book.  Striking cover as well.
","Reviewed in the United States on December 18, 2014"
Alexis Goodley,5.0 out of 5 stars,"
Informative
","Reviewed in the United States on January 24, 2021"
Rick,5.0 out of 5 stars,"
Is a great book so far.
","Reviewed in the United States on October 28, 2020"
Londone Williams,5.0 out of 5 stars,"
This book is awesome. I bought for myself and two friends because it’s a great reference to life
","Reviewed in the United States on July 29, 2020"
Vanessa White,5.0 out of 5 stars,"
Amazing book! Always lays on my nightstand!
","Reviewed in the United States on November 18, 2020"
Fabianna jonas,1.0 out of 5 stars,"
Really disappointed in this book. I heard so many great things but it’s absolutely not what I expected. It’s manipulative, self destructive and just straight up bad advice. If you actually followed these laws you would never build anything of value with friends, family, coworkers etc. It’s made to create bad/rude people. It teaches dishonesty, deception, relationship ruins and most of all, how to be fake. It’s the farthest thing from enlightenment and I regret spending my money it.
","Reviewed in the United States on October 19, 2021"
Kindle Customer,5.0 out of 5 stars,"
I was recommended this book by several of my friends, and it has been worth every second spent reading it
","Reviewed in the United States on July 31, 2021"
Yasmen Zamora,5.0 out of 5 stars,"
Omg! A dengerous book you gain so much knowledge. I am learning so much.
","Reviewed in the United States on May 7, 2021"
mrsammy,1.0 out of 5 stars,"
Over simplistic garbage, a rip off, save your money.
","Reviewed in the United States on February 14, 2019"
Sergio Becerra,5.0 out of 5 stars,"
I love this book. This is something that Niccolo Machiavelli would've loved. This book taught me everything on how to gain power.
","Reviewed in the United States on April 6, 2018"
Cornelio Mungia,5.0 out of 5 stars,"
I like the book, BUT it has damage the the spine...😢My anticipation in reading the book, out weighs the damage.Will not ever buy a paper back from amazon again.
","Reviewed in the United States on April 21, 2021"
OA,5.0 out of 5 stars,"
The book was delivered as it advertised and new
","Reviewed in the United States on June 26, 2022"
Christine,5.0 out of 5 stars,"
I love this book
","Reviewed in the United States on November 25, 2021"
J. Price,5.0 out of 5 stars,"
An eye opener. This book shows the true nature of mankind. Manipulation is what we do from childhood and into adulthood. We haven't changed how we interact with others for thousands of years. To deny this is to place your head in the sand.
","Reviewed in the United States on June 22, 2015"
William Givens,5.0 out of 5 stars,"
It has a lot of excellent commentary and, as best I can tell, very relevant historical examples to back up each law of power.  This is a must read for anybody who wants to understand politics and govern effectively.
","Reviewed in the United States on September 1, 2016"
Bain,5.0 out of 5 stars,"
Bought this book for my 13yr old son, I told him to treat this book and the art of seduction like it’s his bible.
","Reviewed in the United States on April 9, 2019"
Alco,5.0 out of 5 stars,"
i recommend this book to anyone who is tired of being controlled or being betrayed. this book teaches you how people control each other and how to play the game of life. there is a chapter in the book"" never trust friends too much- learn how to use enemies. this chapter will show you how to never confide in any friend totally and it will tell you why. nothing is wrong with a little manipulation,life is about moderation and life is a game. sometimes it's either play or be played. the book also shows why yellow kid weil was able to con people out of millions of dollars. the book has a historic context which shows you how men like otto von Bismarck applied the laws of power. there are 48 of them choose the ones you like and apply them. this book is not for the weak but its for the people who want to play the game of life and never lose.
","Reviewed in the United States on December 2, 2009"
Jason Boursiquot,5.0 out of 5 stars,"
Take your time with this one you will learn so much about self and others
","Reviewed in the United States on July 25, 2020"
Alexander Cano,5.0 out of 5 stars,"
Great book, beautiful colors. Good text.
","Reviewed in the United States on December 7, 2020"
Arianni Kali,5.0 out of 5 stars,"
Use discernment. Life is chess not checkers.
","Reviewed in the United States on April 30, 2021"
Christian Lee,5.0 out of 5 stars,"
While the advice Robert Greene offers is certainly profound, it's also easily digested because of the way in which he draws out conclusions from interesting historical narratives. This book has quickly become one of my favorites.
","Reviewed in the United States on November 1, 2016"
Cyprian,5.0 out of 5 stars,"
This is one of the most interesting books I ever read. The information is very practical and logical. I recommend this book to all my friends and family if they catch me reading it.
","Reviewed in the United States on January 17, 2017"
Thomas,5.0 out of 5 stars,"
This is one of My favorite books of all time. I added to My Collection in My office.
","Reviewed in the United States on May 1, 2022"
Angelica Hall,5.0 out of 5 stars,"
Great book
","Reviewed in the United States on May 13, 2021"
HuyÂ QuocÂ Dang,5.0 out of 5 stars,"
Fun read. But if you use all the lessons in  this book you would become a soulless friendless sociopath. Equally likely to get stabbed as win an election. But a fun read.
","Reviewed in the United States on October 28, 2017"
Amazon Customer,5.0 out of 5 stars,"
There are people who are so narcissistic and so ruthless that they will stop at nothing to get what they want, no matter how many people they harm on the way. This book will help you to recognize some of the patterns of behavior utilized by the excessively ambitious.One shortcoming of the book, I think, is that in some cases, the author used certain criminals and their endeavors as examples of successful acquisition of power. Surely, there would be many examples in the ""legal"" business community that would have served as well or better.
","Reviewed in the United States on February 15, 2014"
TNeal,5.0 out of 5 stars,"
Have not finished yet.
","Reviewed in the United States on May 11, 2020"
Tammy,5.0 out of 5 stars,"
Phenomenal read. Each law is great & the historical examples make each of them that much better. Loved the book & looking forward to reading through it again
","Reviewed in the United States on March 4, 2018"
LoL,5.0 out of 5 stars,"
Is as pictured. Gave as a gift to a friend. Good book as well.
","Reviewed in the United States on November 27, 2019"
Lisa Johanna,5.0 out of 5 stars,"
My life would have been very different since 1998 if I had read this book when it was first published. The 48 Laws of Power is timeless and a must read for anyone that has been a victim or doesn't want to be one, wants to live life as a survivor or up their radar for con artists. It is also like a sociopath's reference book, all the more need to read it as more and more socialized sociopaths are all around us. Know what their game is before they get you.
","Reviewed in the United States on July 27, 2013"
Jeremy Tarbush,5.0 out of 5 stars,"
While I haven't put this work fully into practice, I believe that it contains the keys to gaining power as a subordinate in an organization. Some of it may be shady, but incorporating a little of it will make a big difference in social prowess.
","Reviewed in the United States on December 11, 2014"
customer,5.0 out of 5 stars,"
Love this book, lots of info and insight on how everyone wants power and how to achieve it.
","Reviewed in the United States on July 10, 2019"
E. N. Hering,5.0 out of 5 stars,"
If you do not live alone, in a place far, far away, you must read this book. It will help you to find, and conquer, your place in this world. Schools should teach their students what is written there. Everybody is after power. You too. Read it.
","Reviewed in the United States on June 13, 2015"
shon,5.0 out of 5 stars,"
Good condition. Awesome book!
","Reviewed in the United States on April 29, 2020"
M. Joseph,5.0 out of 5 stars,"
This is a master piece of knowledge! It’s a must have
","Reviewed in the United States on May 31, 2022"
SHAWN E,5.0 out of 5 stars,"
Best defense is to learn the offense playbook
","Reviewed in the United States on August 24, 2019"
Amazon Customer,5.0 out of 5 stars,"
In addition to the Art of War, if you want to master the elements of success, strategy of the mind, and being able to get your way like a true boss, this is the book.
","Reviewed in the United States on December 12, 2019"
Average Joe,5.0 out of 5 stars,"
Robert Greene does it again. This book is filled with true ""laws"" that you can observe in everyday society. Regardless if you agree if the laws are ""right or wrong"" morally is beside the point. These laws are a bit dark and somewhat Machiavellian but they are very applicable to modern day society. Knowing the laws from this book will help you understand the dynamics of power, how to use it, or how to defend yourself from those that try to use it against you. Even if you aren't looking to gain power, this book is still eye opening. I highly recommend this book to anyone.
","Reviewed in the United States on June 20, 2013"
C. Werner,5.0 out of 5 stars,"
Very smart book. Has some very unique and useful tools. I don't agree with everything but I like the book and I will use some parts. I try to treat people as I would have them treat me....The Golden Rule. But with trouble makers or bad people this book can be very helpful.
","Reviewed in the United States on July 8, 2008"
Gerardo Esparza,5.0 out of 5 stars,"
This an awesome book!
","Reviewed in the United States on March 11, 2022"
Joe,3.0 out of 5 stars,"
Mark 8:36 asks ""What good is it to gain the whole world if you forfeit your soul?""  Keep that in the forefront of your mind as you read this book. Otherwise, you risk taking it too seriously.
","Reviewed in the United States on May 8, 2018"
Felix N.,5.0 out of 5 stars,"
Great Book! I had bought this book through a recommendation from my cousin and it turned out to be a very enlightening read.Though lengthy in nature, the book is thoroughly organized and expansive, providing key learning points with great anecdotes to get the point across. Each chapter is an aspect of ""Power"" and is demonstrated through multiple stories with a quote that exemplifies the point trying to get across the to the reader.As for the pricing, I paid about 20$ for the paperback edition which has held up pretty well. It could be cheaper but regardless the book is a great seller and the quality of the content will justify your investment in knowledge.Overall, I would highly recommend this book to anyone interested in the psychology of power.
","Reviewed in the United States on January 2, 2018"
v. cain,5.0 out of 5 stars,"
I liked the book so much that I purchased a copy as gift for my son.The book, The 48 Laws of Power, by Robert Greene, is a great update of Prince Machiavelli's philosophy about how to obtain power, and then, how to maintain it.
","Reviewed in the United States on June 15, 2014"
Bernice,5.0 out of 5 stars,"
Excellent book a must read
","Reviewed in the United States on April 15, 2020"
Sotto voce,5.0 out of 5 stars,"
This is a 14 year-old book that I, then my wife read. After 1330 reviews, what else might possibly be said?We'll ... maybe a lot. Notice that the reviews have trended up toward 5 stars after a sketchy 3-5 star beginning 13 years ago. Are the 48 Laws of Power more relevant now than 13 years ago?Reviewer's terms have morphed from using words like `evil' in some form to `practical' and `useful' today.  Are readers more aligned to the 48 Laws then they were in 2000?My wife and I have our own book club thing going so we've spent some time chatting about Greene's 48 Law's. We agree first, that Lucifer and the demons of Hell should have gotten some of the credits in the intro. However, Greene elucidates the Hellion's strategies so well that they are likely enthralled by the result since the low key, take no credit for injecting is one of the laws. That's not to say that we mere humans don't execute the possibilities of this list of management style temptations ... at least 2 or 3 a day ... maybe more.We agree second that the 48 Laws of Power is a masterpiece. It describes the ways and means to reap what you sow. it is so exceedingly rare that an author sticks to such ancient tried and true methods that really work without messing them up with ""New"" or ""Improved"" notions. This is hard core wisdom for the power seekers and office warriors.  You can love it or hate it simultaneously. Nonetheless,  it is worthy simply because it is so spot on for offence or defense in a wholly secular world.Great value for money ... a long read.
","Reviewed in the United States on March 19, 2014"
Kindle Customer,5.0 out of 5 stars,"
I have this book in every format. Comes in very handy when trying to figure out, or deal with tactics employed by management officials in the workplace.  These methods are time tested and still hold true to date.  Easy  read.  This book is a must have for anyone in todays business world.
","Reviewed in the United States on November 19, 2012"
joe S,5.0 out of 5 stars,"
great book! this purchase wasn't for myself but as a gift.This book sits on my shelf and sees the most action from friends and family.  They keep perusing and wanting to borrow it.  I finally decided to gift it so i can keep my book on my library.
","Reviewed in the United States on March 5, 2013"
Timothy R. Fenner,5.0 out of 5 stars,"
Very important book with awesome strategic value!
","Reviewed in the United States on April 18, 2022"
Spectre,5.0 out of 5 stars,"
This is book is so poignant and informative!!!!!!
","Reviewed in the United States on July 10, 2020"
Amazon Customer,5.0 out of 5 stars,"
Very good read. Can really change your views and perspective on things. Great for anyone who wants to achieve a bit more in life and can certainly help in giving you an edge over others in the field.
","Reviewed in the United States on February 4, 2016"
MarBoi,5.0 out of 5 stars,"
I like that you don't have to read it in order.  Pick a law you're interested in and read it.  Very applicable to modern times, I enjoyed it very much.
","Reviewed in the United States on February 2, 2018"
Nancy,5.0 out of 5 stars,"
Good book
","Reviewed in the United States on September 6, 2020"
Michael Garcia,5.0 out of 5 stars,"
I couldn’t believe how much information I missed out on when I read my first Robert greene book. If I could, I would recommend this to everybody. (Any Robert greene books, really) a lot of stuff that they don’t teach you in school
","Reviewed in the United States on January 16, 2019"
John Foley,5.0 out of 5 stars,"
This may turn out to be one of the most important books I've ever read.
","Reviewed in the United States on April 15, 2019"
Janyl :),5.0 out of 5 stars,"
48 Laws of Power gives a good breakdown of the mischief and deceit necessary to survive and prosper.
","Reviewed in the United States on February 26, 2019"
Amir Fawzi,5.0 out of 5 stars,"
A compilation of how influential people since the beginning of time has used various strategies to gain power. Filled with 100s of interesting  examples and stories, and in depth analysis of the respective strategy.
","Reviewed in the United States on June 19, 2019"
O. Long,5.0 out of 5 stars,"
I gave this book five stars for two reasons. The first is that this book paints society without the rose colored glasses we like to place on it. Its harsh and realistic. It paints a picture of humanity that is near perfect. It tells you how humans act and what human nature is, and it isn't pretty. Second the book is interesting and easy to read. Even if you disagree with Greene's viewpoints or his paradigm the histories presented are interesting and written in a easy to read well presented fashion.
","Reviewed in the United States on July 31, 2013"
lasharnda trapp,5.0 out of 5 stars,"
Great book if you are trying to change your mindset and have a better understanding about life REAL LIFE order yours
","Reviewed in the United States on May 22, 2021"
ivan,5.0 out of 5 stars,"
book is amazing. deliver was on point. no complaints here
","Reviewed in the United States on July 3, 2021"
Claudia Chaparro,5.0 out of 5 stars,"
If you haven’t read this book it’s a must it will open you’re mind to things you’ve never thought of before !
","Reviewed in the United States on May 5, 2021"
David Lem,5.0 out of 5 stars,"
its a good casual read for me
","Reviewed in the United States on November 4, 2020"
Lana Rivera,5.0 out of 5 stars,"
Perfect condition
","Reviewed in the United States on July 7, 2021"
Joaquin Rodrigo Gaspar Sosa,5.0 out of 5 stars,"
The item was stunning. Excellent delivery. Quality of the wrapping was fine. A++!
","Reviewed in the United States on February 8, 2022"
Dr. Gilda Carle,5.0 out of 5 stars,"
The 48 Laws of PowerAs a professor of business psychology and communications in an accelerated leadership program at New York's Mercy College, I chose this book as a text for one of my courses.  My students are adults returning to college to complete their degrees, so they have rich life experiences.  Some of the Laws shocked them (for example, Law 6:  ""Court Attention at All Cost""), while others were in sync with their own encounters (for example, Law 32: ""Play to People's Fantasies."")  Whether they agreed with each Law or not, my students began to think in new ways--about their personal ethics and those of their families, acquaintances and business associates.  They questioned how far the end should justify the means toward their goals. They compared The Laws to my book, ""Don't Bet on the Prince!  How to Have the Man You Want by Betting on Yourself,"" and noted similarities in the realm of male/female power that would have seemed so distinct at first glance.  It was a great thinking and learning experience, and I would use The 48 Laws of Power again in other courses.
Don't Bet on the Prince!: How to Have the Man You Want by Betting on Yourself","Reviewed in the United States on July 4, 2007"
SHD-Blue,5.0 out of 5 stars,"
I wish I had read this book 30 years ago. I do believe I would have behaved differently in the office. I did attain the position of Director in several companies but I am sure I could have been more successful with this knowledge and understanding. I always expected people to play fairly and that is my downfall. No one plays fairly. I was one of those who believed hard work and team playing were keys to success. What corporations tell you are lies. It is every person for themselves. Read this book!!!
","Reviewed in the United States on September 18, 2021"
VisionQuestress,5.0 out of 5 stars,"
Read it. The book is better than the audiobook.
","Reviewed in the United States on June 29, 2019"
JT,5.0 out of 5 stars,"
So entertaining,, full of history and detailed accounts.Complaint: I  try to follow a story,  then the author cuts it off and interjects a completely different story before completing the original one. It's the most annoying thing about this book. If he's doing it to increase interest,  or power,  it didn't work on me. I already enjoy this book,  no need for that trick.Praise: in a world of humans full of ego,  the author gives valuable insight into human behavior. Some of it really doesn't apply nowadays like (crush your enemy completely), really,  does anyone kill their own children like that Chinese Empress that did anything to destroy her competition to the throne. Still I'm fascinated by human behavior so even these crazier stories were interesting to me.I consider myself very protective of innocents from deceptive individuals.  What better way to become a strong protector than by understanding the dark side of humanity.Ps. Not everything suggested will work. For example ""If you want to seduce a woman,  court her sister first- Stehndal "". Someone i already liked tried this on me,  as soon as he mentioned my sister or any other women i banished him from my life. I know he's in pain rn and i love it.
","Reviewed in the United States on January 31, 2018"
Esteban,5.0 out of 5 stars,"
I love how the book really goes in depth on how to interpret the law
","Reviewed in the United States on May 20, 2022"
mona,5.0 out of 5 stars,"
Interesting n great book.
","Reviewed in the United States on October 28, 2019"
David Cacace,5.0 out of 5 stars,"
Great book to learn what can be going on around you in the work place etc.
","Reviewed in the United States on May 11, 2019"
Sam,5.0 out of 5 stars,"
Robert Greene's books are beautifully stylized and written. After getting this one online, I went on to Barnes and Noble to collect War, Seduction, and Mastery. They are packed with powerful information and look good displayed next to eachother.
","Reviewed in the United States on August 11, 2015"
Jean,5.0 out of 5 stars,"
I enjoy reading this book.
","Reviewed in the United States on October 5, 2019"
Eric's Reviews,5.0 out of 5 stars,"
My son read and loved this book when he was 12 (he was that kind of kid).  So we bought this one as a gift for a friend's son and he loved it too.  If you or someone you know is showing leadership skills or tendency's, this book is a great resource for learning what works, and what doesn't.  I would highly recommend this book.
","Reviewed in the United States on February 26, 2017"
Elizabeth,5.0 out of 5 stars,"
Gift for boyfriend who is happy with purchase and quality
","Reviewed in the United States on March 28, 2019"
A Robinson,5.0 out of 5 stars,"
Great value!!!
","Reviewed in the United States on December 4, 2019"
Danielle Suarez,5.0 out of 5 stars,"
Self explanatory
","Reviewed in the United States on April 11, 2022"
Kevin Urbina,5.0 out of 5 stars,"
It came a bit bended because of shipping but still great book.
","Reviewed in the United States on September 22, 2021"
Mimi,5.0 out of 5 stars,"
Ready to read it and learn the laws ! Looks exactly like photo
","Reviewed in the United States on February 8, 2020"
O.J. Barnes,5.0 out of 5 stars,"
MUST,,,,,,, READ!!!!!!!!
","Reviewed in the United States on May 19, 2021"
ZORAN TANSEK,5.0 out of 5 stars,"
Great book
","Reviewed in the United States on January 10, 2020"
Bobby ,5.0 out of 5 stars,"
Great Book!
","Reviewed in the United States on April 28, 2022"
Adam Powell,5.0 out of 5 stars,"
Very interesting and motivational. This books is great to learn the tools of power, but also recognize when others are doing it.
","Reviewed in the United States on May 25, 2021"
Debra R Torres-Reyes,5.0 out of 5 stars,"
A must read for all Divine Feminine Goddesses and Empaths. I recommend that you have access to a ""website"" while reading so you can find out about the ""rest"" of the story. For instance, the Bible tells of Cryus the Great who helped the children of Israel rebuild the temple (I think this story in the bible is a metaphor) but did you know a Woman Queen Warrior defeated Cyrus of the Babylonian empire, which the book The Secret speaks.  Her name Tomyris and she was of Iranian descent. Divine Feminine's and those of us who don't understand how the Game of Life is played need to get this book. I especially recommend this book for young woman whether you plan to be a work at home mother or business entrepreneur, either way it will help you avoid the pitfalls in life or help you when you fall into the pit with your eyes wide open how to recover and get out. Great read. Thank you, FREQUENCYPHOENIX555 for recommending this book. 😇🙏💖
","Reviewed in the United States on July 10, 2020"
Joanna Gawlik,1.0 out of 5 stars,"
While this book is a useful compilation of historical stories, it dangerously also poses as a modern manual for human behavior - a task at which it abysmally fails. We have the book on our coffee table and open it any time we need a good laugh. Anyone looking to understand human behavior, power dynamics and network effects would be better off reading books based on research and modern science, since we no longer live in the dark ages. Adam Grant and Brenee Brown are good starting points.
","Reviewed in the United States on August 6, 2019"
Jordy Madueño (Lenus),5.0 out of 5 stars,"
Robert Greene enfoca y usa como ejemplo a estafadores o personas viles, sin embargo, cada una de las leyes del poder si tienen una aplicación útil. Me explico, para Robert lo importante es obtener poder, sin embargo, es un poder insostenible considerando los engaños, la hipocresía, entre otros. Cuando sumas todas las recomendaciones te das cuenta que el verdadero poder está en transformar nuestro carácter para desarrollar comportamientos reales y no fingidos. En ese sentido, si se puede desarrollar poder con cada una de las leyes de tal forma que sea sostenible y duradero. Aunque la aplicación más evidente es a nivel empresarial, considero que es útil para todas nuestras áreas de vida.
","Reviewed in the United States on February 11, 2021"
MW,5.0 out of 5 stars,"
Read this book. This is the most realistic book I’ve ever read. I’ve read countless of self-help books before I read a book like this. I’m pretty sure Robert Greene did the same. It will make you aware of what the evil is up to. When you know what the evil is up to, you can most definitely defeat the evil every time. That is true power and self-improvement.
","Reviewed in the United States on February 5, 2021"
JSJ,5.0 out of 5 stars,"
“The 48 Laws of Power” is a guide to human behavior. In the real world, life is not always about fairness and honor. The most fair, virtuous, and honorable do not always come out on top. Sometimes they do but many times they don’t because someone else has power over them. This book helps you understand human behavior with examples from history and from the psychological perspective. When you get caught up in someone’s power play, you need to be aware of the situation and how you can avoid it or extract yourself from it. You can also apply the laws when it’s appropriate for you.The takeaway from “The 48 Laws of Power” is to be objective and to divorce your emotions from the situation. Some laws are relevant to you while others are not. What’s important to be aware of these laws of power. As I was reading, current examples of these laws came to mind. This understanding and insight will make it less scary dealing with uncertainty in present situations.
","Reviewed in the United States on January 11, 2022"
Joel D. Smith,5.0 out of 5 stars,"
If you enjoy history, psychology, sociology and the dynamics of relationships you'll love this book.  Greene's work has the focus of Machiavelli's, The Prince, but is written in a voice similar to Dale Carnegie's, How to Win Friends and Influence People.  There's lots of practical advice with loads of examples to help everyone from the aspiring tyrant to the school teacher to the middle manager to the parent.  If you can get past the promotion of power (which I suspect is satirical like Machiavelli) there's much really good advice here to keep from being taken advantage of by people in power over you or those below you trying to pull themselves up at your expense.  So, read it, but don't take the admonition to power too seriously.
","Reviewed in the United States on July 21, 2019"
Amazon Customer,5.0 out of 5 stars,"
An uncanny and straightforward analysis of the ways of the world and how to navigate them to bring about the most fortuitous conclusion. As a sociology major in my school days, this book perfectly captures the essence of the sociological imagination described by C. Wright Mills: no individual has power except when we comprehend our position in society, where it is heading, and how we can join with others in shaping that trajectory. That said, many if not most of these laws can easily be used for manipulation and deceit, and some may be inherently inconsistent with honesty and fairness. For those who reject machiavellianism and seek to be loved rather than feared, this book will nonetheless help the reader identify where and how underhanded people work and can take measures to hinder their progress, if not stop them outright. The game of power is one we all must play, whether we choose to or not (much like ""the game""). What we do with power and how we share it determines the outcome.
","Reviewed in the United States on November 27, 2018"
EURASIA SHAKAI,5.0 out of 5 stars,"
My husband loves it. He's currently incarcerated.
","Reviewed in the United States on August 31, 2018"
Everett,2.0 out of 5 stars,"
48 Laws of Power is a classic snake oil book. It claims to have Laws, but each chapter points out the swathes of exceptions to each Law. Furthermore, the laws blatantly contradict one another. The result is a book full of anecdotes attempting to prove contradictory rules. The book instructs the reader to be a cutthroat, emotionless, calculating manipulator to succeed. I will not argue with that conclusion, but it is not the only path in life. For fun, here are some of the 48 laws that contradict one another:Law 6 - Court attention at all cost (""all attention is good attention"")Law 5 - So much depends on reputation - Guard it with your life--------So he advises to bang pots and pans together, but to avoid getting a bad reputation. Great.Law 7 - Get others to do work for you, and always take the creditLaw 11 - Learn to keep people dependent on you--------In other words, sometimes you should make people do all the work, and sometimes you should garner a reputation for doing all the work and being reliable. Great advice.Law 4 - Always say less than necessary (to appear smart by letting people imagine you know more)Law 46 - Never appear to perfect-----------So you should pretend to be omniscient but not perfectly omniscientLaw 34 - Be royal in your own fashion: act like a king to be treated like oneLaw 38 - Think as you like but behave like others-----------Unless everyone is a king, this is plainly absurd.Before you buy this book for laughs, keep in mind that if you follow these rules, smart people around you that read similar concepts as a defensive measure (like myself) will immediately write you off as a sociopath that is not worth connecting with, befriending, or respecting. Power is not the only value in the social marketplace.
","Reviewed in the United States on August 22, 2020"
Adzplusone,5.0 out of 5 stars,"
I don't know why anyone would rate this book less than 3 starsThe only reason I can think of is that those people are afraid to face the world as it is and prefer to cover the sun with one fingerThis book is crafted with the best real stories from history greatest triumphant leaders and common peopleThis book is what I would call a real 'self help book' giving great advice on mostly how to be aware of the wolves out there that want to take advantage of you, even your most loved ones. But also you might be able to practice the laws yourself, not abusing of course, because like it says in the introduction the game of power is very tricky.Moreover, this book is nothing like the rubbish offered in other kinds of self help books like 'wishful thinking' and new religions
","Reviewed in the United States on May 18, 2019"
Lee,5.0 out of 5 stars,"
I had to hide this book from my son.  He's always referring quotes from this book.  It gets on my nerves
","Reviewed in the United States on April 19, 2018"
Glenn C. Maxey,5.0 out of 5 stars,"
This book is scary, because it provides the blueprints for sociopaths to gain control, influence, and power.It is useful for those of us who aren't sociopaths to be able to spot the manipulation techniques used against us. Wish I would have read this in college before starting a career, so that maybe I wouldn't have been so blind-sided by actions of others.
","Reviewed in the United States on April 1, 2021"
Robert the smart buyer,5.0 out of 5 stars,"
... because the table of contents tells you 48 ways that you can take power. What if only 37 worked? What if only 4 worked? You choose whatever works for you; it's all yours right here in this one book.
","Reviewed in the United States on June 16, 2014"
isrrael rodriguez,5.0 out of 5 stars,"
It's nice
","Reviewed in the United States on June 2, 2021"
Cee,5.0 out of 5 stars,"
The best book out there this is a book you have to study not read
","Reviewed in the United States on February 27, 2021"
Valeria Alvarado,5.0 out of 5 stars,"
Gave this as a gift and he loved it. He refers back to it often. Great gift for a reader
","Reviewed in the United States on June 15, 2020"
Hello,5.0 out of 5 stars,"
An excellent book. I would highly recommend not just for those who seek power, but also to anybody who is interested in understanding public officials as well as leaders of the present times. This book has many historical lessons which are extremely valuable.
","Reviewed in the United States on June 6, 2017"
Missy,5.0 out of 5 stars,"
Wonderful read for everyone it’s actually my third time buying this book over the years and I believe I read it over three times
","Reviewed in the United States on January 8, 2020"
